,Japanese Name,Romanized Name,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,,Character,Origin,Residence,Age,Height,Blood Type,English Name,Meaning,Type,Age at Death,LiveAction Portrayal,Alias,First Appearance,Admiral,Main Ship,Total Bounty,Affiliation,Patriarch,Captain,Occupation,Leaders,Residency,12th Leader,13th Tobe Leader,Kingdom,Boss,Matriarch,GovernorGeneral, Number,Size,First appearance,Region,Netflix English VA,Birth Name,Japanese VA,Funi English VA,Features,Weight,Fruit Debut,Usage Debut,Previous User, key,Vessel,Homeland,Completion Date,Length,Affiliates
0,A・O（アー・オー）,Ā Ō,A.O. (VIZ Media and FUNimation subs);A.O (FUNimation dub),Chapter 551; Episode 460,A O Pirates; Subordinate of the Whitebeard Pirates,Pirate; Captain,Unknown,January 15th,Mark Fickert,A O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ビザール,Bizāru,Bizarre,Chapter 553; Episode 468,Subordinate of the Whitebeard Pirates,Pirate; Captain,Alive,February 3rd,Wilbur Penn,Bizarre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ビヨ,Biyo,Beeyo (Viz);Biyo (Funimation subs),Chapter 658; Episode 583,,,Alive,,Kate Oxley,Biyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ビシャ門,Bishamon,Bishamon,Chapter 931; Episode 925,Beasts Pirates; Orochi Oniwabanshu (former); Kurozumi Family (former),Ninja; Pirate,Alive,August 1st,Stephen Miller,Bishamon,Wano Country,"Flower Capital, Wano Country",28,"182 cm (6'0"")",XF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BB（ブラックバック）,Bībī (Burakkubakku),BB (Blackback)BB (Black Back) (WT100),Chapter 805; Episode 754,Mokomo Dukedom; Guardians;,Guardian,Alive,,Anthony Bowling,Blackback,,Zou (Whale Forest),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Kumo Kumo no Mi, Model: Rosamygale Grauvogeli",Burakkumaria,Black Maria,Chapter 977; Episode 982,Beasts Pirates (Tobiroppo),Shinuchi; Brothel owner,Alive,September 24th,Alicyn Packard,Black Maria,Wano Country,Onigashima,29,"820 cm (26'11"")",S,"Spider-Spider Fruit, Rosamygale grauvogeli Model",Spider,Ancient Zoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ビミネ,Bimine,Bimine,Chapter 657 (cover),,Mayor,Alive,,,Bimine,,Pucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,びん豪,Bingō,Bingoh,Chapter 928; Episode 921,,Priest (former); Cooper (former); Graverobber (former),Alive,,Dalton Tindall,Bingo,,Wano Country (Ebisu Town),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ビッグパン,Biggu Pan,Big Bun (Viz);Big Pan (FUNimation),Chapter 309; Episode 210,Foxy Pirates; Groggy Monsters,Pirate; Combatant,Alive,May 25th,Andrew Chandler,Big Pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Mushi Mushi no Mi, Model: Suzumebachi",Bian,Bian,Chapter 717; Episode 647,Tontatta Kingdom; Tontatta Pirates; Straw Hat Grand Fleet,Leader of Pink Bee Squad; Pirate,Alive,,Kristen McGuire,Bian,,,,,,"Bug-Bug Fruit, Model: Hornet",Insect; Hornet,Zoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
