Mineral,MSH-01-PC1,MSH-01-PC-3T,MSH-02-PC1,MSH-03-PC1,MSH-03-PC-3T,MSH-04-PC1,MSH-04-PC-3T,MSH-05-PC1,MSH-05-PC-3T,MSH-06-PC1,MSH-06-PC-3T,MSH-09-PC1,MSH-09-PC-3T,MSH-10-PC1,MSH-10-PC-2T,MSH-11-PC1,MSH-11-PC-1T,MSH-12-PC1,MSH-12-PC-1T,MSH-13-PC1,MSH-13-PC-2T,MSH-14-PC1,MSH-14-PC-1T,MSH-18-PC1,MSH-18-PC-1T,MSH-19-PC-1B,MSH-19-PC-1T,MSH-20-PC-1B,MSH-20-PC-1T,MSH-21-PC1,MSH-21-PC-1T,MSH-23-PC-1B,MSH-25PC1,MSH-25-PC-2T,MSH-26-PC1,MSH-26-PC-2T
Cuarzo,0.455,0.444,0.389,0.442,0.41,0.487,0.373,0.426,0.388,0.445,0.375,0.373,0.343,0.831,0.44,0.652,0.683,0.766,0.74,0.91,0.41,0.629,0.701,0.663,0.531,0.577,0.466,0.638,0.487,0.607,0.554,0.441,0.617,0.631,0.805,0.326
Plagioclasa,0.116,0.121,0.125,0.106,0.12,0.08,0.116,0.122,0.123,0.122,0.117,0.129,0.11,0.059,0.068,0.094,0.022,0.104,0.048,0.037,0.073,0.12,0.092,0.105,0.153,0.103,0.093,0.111,0.116,0.141,0.114,0.156,0.145,0.16,0.069,0.063
Feldespato,0.019,0,0,0,0.027,0.031,0.019,0.031,0.019,0.027,0.029,0.022,0,0,0,0.034,0,0.014,0,0.01,0,0.019,0,0,0.016,0%,0%,0.014,0.017,0%,0.069,0%,0%,0%,0.009,0%
Esmectita,0.037,0.032,0.028,0.047,0.029,0.032,0.047,0.032,0.045,0.037,0.033,0.04,0.039,0.017,0.02,0.033,0.011,0.023,<1,0.011,0.023,0.015,0.017,<1,0.02,0.031,0.013,0.018,0.017,0.017,0.021,0.041,0.022,0.016,0.013,<1
Caolinita,0.132,0.125,0.128,0.132,0.132,0.137,0.159,0.125,0.126,0.086,0.14,0.136,0.133,0.03,0.059,0.106,0.029,0.053,0.027,<1,0.083,0.047,0.038,0.051,0.06,0.053,0.058,0.072,0.097,0.082,0.073,0.157,0.098,0.089,0.038,0.066
I-ls,0.065,0.081,0.069,0.083,0.088,0.079,0.081,0.079,0.074,0.082,0.081,0.083,0.092,0.04,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.025,0%,0.013,0%
Illita-Mica,0.027,0.034,0.023,0.036,0.039,0.031,0.03,0.027,0.037,0.036,0.031,0.032,0.024,0%,0.017,0.031,0.015,0.022,0.019,0.032,0.017,0.02,0.018,0.017,0.019,0.009,0.017,0.023,0.019,0.027,0.021,0.024,0.023,0.024,<1,0.021
Yeso,0%,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01,0%,0%,0%,0%
Calcita,0.031,0.032,0.034,0.036,0.033,0.041,0.046,0.04,0.047,0.048,0.053,0.045,0.051,0%,0.071,0%,0.024,0%,0.022,0,0.061,0.018,0.024,0.018,0.03,0.02,0.039,0.012,0.035,0.005,0.057,0,0,0.014,0,0.074
Calcita (Mg),0.01,0.016,0.046,0.012,0.018,0.015,0.017,0.015,0.024,0.012,0.026,0.019,0.019,0%,0.04,0%,0.02,0%,0.032,0,0.046,0.011,0.014,0.029,0.04,0.026,0.036,0.011,0.025,0,0.025,0,0,0.009,0,0.057
Aragonito,0%,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.079,0%,0.197,0%,0.19,0%,0.11,0,0.184,0.064,0.092,0.11,0.072,0.11,0.203,0,0.105,0,0.031,0,0,0,0,0.356
Pirita,0.058,0.047,0.06,0.061,0.04,0.039,0.043,0.054,0.053,0.06,0.042,0.06,0.042,0%,0.052,0.021,0,0,0,0,0.067,0.021,0,0,0.031,0.053,0.048,0.068,0.053,0.089,0,0.117,0.05,0.03,0.042,0
Clorita,0.01,0.011,0.055,0.01,0.012,0.008,0.013,0%,0%,0.008,0.013,0.01,0.01,0%,0.006,0%,0.005,0%,0%,0,0.006,0.006,0.003,0.005,0.004,0.004,0.006,0.006,0.007,0.007,0.005,0.01,0.007,0.007,<1%,0.006
Siderita,0%,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.009,0%,0%,0%,0%,0%,0%,0%,0%,0%,NF,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Anatasa,0.017,0.022,0.018,0.016,0%,0%,0.023,0.022,0.021,0.019,0%,0.02,0.022,0.011,0%,0.029,0,0.018,0,0%,0%,0.011,0%,NF,0.009,0%,0%,0.008,0%,0.01,0.01,0.024,0%,0%,0%,0.008
Halita,0.024,0.036,0.024,0.021,0.053,0.02,0.033,0.026,0.043,0.019,0.058,0.03,0.036,0.004,0.03,0%,0.004,0%,0%,0,0.03,0.019,0.003,0.004,0.015,0.014,0.022,0.019,0.02,0.014,0.02,0.021,0.013,0.019,0.009,0.024
