Mineral|Muestra|Valor
Cuarzo|MSH-01-PC1|0.455
Plagioclasa|MSH-01-PC1|0.116
Feldespato|MSH-01-PC1|0.019
Esmectita|MSH-01-PC1|0.037
Caolinita|MSH-01-PC1|0.132
I-ls|MSH-01-PC1|0.065
Illita-Mica|MSH-01-PC1|0.027
Yeso|MSH-01-PC1|0%
Calcita|MSH-01-PC1|0.031
Calcita (Mg)|MSH-01-PC1|0.01
Aragonito|MSH-01-PC1|0%
Pirita|MSH-01-PC1|0.058
Clorita|MSH-01-PC1|0.01
Siderita|MSH-01-PC1|0%
Anatasa|MSH-01-PC1|0.017
Halita|MSH-01-PC1|0.024
Cuarzo|MSH-01-PC-3T|0.444
Plagioclasa|MSH-01-PC-3T|0.121
Feldespato|MSH-01-PC-3T|0.0
Esmectita|MSH-01-PC-3T|0.032
Caolinita|MSH-01-PC-3T|0.125
I-ls|MSH-01-PC-3T|0.081
Illita-Mica|MSH-01-PC-3T|0.034
Yeso|MSH-01-PC-3T|0.0
Calcita|MSH-01-PC-3T|0.032
Calcita (Mg)|MSH-01-PC-3T|0.016
Aragonito|MSH-01-PC-3T|0.0
Pirita|MSH-01-PC-3T|0.047
Clorita|MSH-01-PC-3T|0.011
Siderita|MSH-01-PC-3T|0.0
Anatasa|MSH-01-PC-3T|0.022
Halita|MSH-01-PC-3T|0.036
Cuarzo|MSH-02-PC1|0.389
Plagioclasa|MSH-02-PC1|0.125
Feldespato|MSH-02-PC1|0
Esmectita|MSH-02-PC1|0.028
Caolinita|MSH-02-PC1|0.128
I-ls|MSH-02-PC1|0.069
Illita-Mica|MSH-02-PC1|0.023
Yeso|MSH-02-PC1|0%
Calcita|MSH-02-PC1|0.034
Calcita (Mg)|MSH-02-PC1|0.046
Aragonito|MSH-02-PC1|0%
Pirita|MSH-02-PC1|0.06
Clorita|MSH-02-PC1|0.055
Siderita|MSH-02-PC1|0%
Anatasa|MSH-02-PC1|0.018
Halita|MSH-02-PC1|0.024
Cuarzo|MSH-03-PC1|0.442
Plagioclasa|MSH-03-PC1|0.106
Feldespato|MSH-03-PC1|0
Esmectita|MSH-03-PC1|0.047
Caolinita|MSH-03-PC1|0.132
I-ls|MSH-03-PC1|0.083
Illita-Mica|MSH-03-PC1|0.036
Yeso|MSH-03-PC1|0%
Calcita|MSH-03-PC1|0.036
Calcita (Mg)|MSH-03-PC1|0.012
Aragonito|MSH-03-PC1|0%
Pirita|MSH-03-PC1|0.061
Clorita|MSH-03-PC1|0.01
Siderita|MSH-03-PC1|0%
Anatasa|MSH-03-PC1|0.016
Halita|MSH-03-PC1|0.021
Cuarzo|MSH-03-PC-3T|0.41
